backlog_error_pts,pressure_pct
-0.77,-34.1
-3.1,-27.99
-0.99,-22.27
0.21,-18.26
2.73,-14.41
3.69,-5.23
3.56,0.59
3.37,-4.33
6.54,-8.64
9.96,-13.43
12.63,-19.76
16.87,-22.0
19.91,-25.99
14.63,-28.91
9.14,-29.69
4.06,-29.49
-0.37,-28.37
0.07,-27.8
-2.63,-27.13
-0.44,-25.89
0.73,-25.86
3.1,-26.21
6.79,-24.37
7.83,-23.27
2.47,-70.94
-1.34,-71.49
-2.73,-70.63
-0.2,-68.76
1.84,-67.29
0.69,-65.84
0.03,-63.43
-0.27,-61.6
-1.03,-60.24
-1.5,-60.77
-1.24,-59.63
-0.49,-57.21
-0.16,-51.44
-2.53,-51.39
-2.54,-48.29
-3.34,-47.79
-3.46,-46.99
-3.61,-44.06
-1.74,-41.77
-1.87,-39.51
-1.23,-37.21
-1.57,-37.07
-0.61,-36.06
0.46,-34.89
1.4,-34.43
2.89,-33.46
4.29,-31.2
4.64,-29.19
3.64,-73.14
-0.13,-73.01
0.96,-74.14
0.3,-72.84
-0.09,-70.7
-0.27,-69.69
0.33,-67.57
0.51,-65.67
-0.23,-63.89
-0.33,-61.4
-1.01,-57.86
-1.64,-53.83
-3.04,-51.67
-4.13,-48.11
-5.16,-45.46
-5.11,-42.27
-6.2,-39.4
-5.57,-36.79
-5.34,-33.96
-6.09,-30.91
-5.17,-27.99
-4.5,-27.64
-3.71,-25.39
-1.93,-24.14
0.09,-22.49
0.89,-19.39
2.27,-13.06
1.29,-9.56
3.19,-68.49
-0.51,-65.93
-1.53,-61.76
-1.96,-60.83
-1.67,-59.13
-0.71,-59.14
-0.77,-56.24
-0.14,-52.67
-0.59,-50.31
-0.79,-46.99
-1.43,-44.09
-1.13,-42.54
-0.54,-38.46
-0.13,-36.03
0.1,-29.49
-1.63,-16.64
-7.11,-13.3
-10.57,-7.86
-13.63,-1.93
-17.27,2.33
-19.69,-1.4
-17.57,-1.14
-15.37,-0.47
-11.21,-0.69
-8.64,-0.54
0.81,-0.96
7.69,-3.84
17.61,-12.97
2.67,-68.3
0.16,-64.86
-0.21,-63.43
