queued_pricing_error_s,backlog_error_s
-0.0999,-0.151
-0.1751,-0.242
0.0062,-0.064
0.0288,-0.052
0.241,-0.315
-0.0473,-0.636
-0.6606,-0.295
-0.6289,-0.276
-0.3809,-0.154
-0.556,-0.349
-0.2027,-0.368
-0.2131,-0.405
-0.3052,-0.417
-0.2039,-0.327
0.229,0.202
0.5655,0.507
1.1037,1.013
1.6671,1.508
2.0675,1.907
2.4492,2.263
2.8255,2.675
2.4967,1.933
1.4781,0.887
0.9086,0.35
0.4255,-0.132
-0.0901,-0.154
0.0071,-0.019
0.0774,0.047
0.223,-0.03
0.1132,-0.161
-0.3065,-0.271
-0.2847,-0.281
-0.1729,-0.188
0.0736,0.103
0.2268,0.242
0.5806,0.613
0.5903,0.497
0.8203,0.652
0.997,0.776
1.1223,0.863
1.2344,1.015
1.5046,1.267
1.3837,0.924
0.9785,0.522
0.9177,0.434
0.5484,0.076
0.2986,-0.174
0.0411,-0.422
0.1118,-0.366
-0.0908,-0.209
0.0701,-0.036
0.2015,0.137
0.3903,0.333
0.4676,0.398
0.029,0.011
0.0159,-0.019
-0.0171,-0.046
-0.0907,-0.143
-0.0032,-0.039
0.1013,0.04
0.2029,0.108
0.2893,0.175
0.4627,0.34
0.7209,0.669
1.0087,0.869
1.1905,1.027
1.471,1.289
1.709,1.534
1.4866,0.972
1.0282,0.575
0.7249,0.288
0.3151,-0.131
0.3015,-0.168
0.0455,-0.395
-0.1669,-0.26
-0.087,-0.199
0.0639,-0.042
0.1645,0.076
0.3693,0.304
0.4717,0.394
0.181,0.364
0.372,0.042
0.2944,-0.054
0.0238,-0.217
-0.0979,-0.069
0.0065,0.015
0.1785,0.191
0.2615,0.258
0.3267,0.236
0.573,0.458
0.8217,0.697
1.0105,0.884
1.3283,1.181
1.5381,1.394
1.4934,1.024
1.1061,0.64
0.7105,0.284
0.407,-0.026
0.4615,0.005
0.2654,-0.184
0.0508,-0.031
0.1474,0.051
0.304,0.217
0.5447,0.475
0.6415,0.548
0.145,-0.094
-0.0895,-0.191
-0.1441,-0.014
0.0107,0.129
0.1091,0.048
0.0657,0.002
-0.0184,-0.019
-0.0435,-0.072
-0.0676,-0.105
-0.0775,-0.087
-0.065,-0.034
-0.0435,-0.011
-0.1935,-0.177
-0.1403,-0.178
-0.1808,-0.234
-0.206,-0.242
-0.2099,-0.253
-0.0928,-0.122
-0.0981,-0.131
-0.0663,-0.086
-0.0831,-0.11
0.0081,-0.043
0.0792,0.032
0.1524,0.098
0.2665,0.202
0.3593,0.3
0.3885,0.325
0.267,-0.009
-0.0346,0.067
0.0794,0.021
-0.001,-0.006
-0.0011,-0.019
0.0198,0.023
0.0426,0.036
0.0134,-0.016
-0.0111,-0.023
-0.0407,-0.071
-0.0959,-0.115
-0.1901,-0.213
-0.2262,-0.289
-0.3299,-0.361
-0.3319,-0.358
-0.2975,-0.434
-0.3671,-0.39
-0.3549,-0.374
-0.3889,-0.426
-0.3302,-0.362
-0.2851,-0.315
-0.2202,-0.26
-0.1058,-0.135
0.0447,0.006
0.1155,0.062
0.2049,0.159
0.1303,0.09
0.205,-0.036
-0.0544,-0.107
-0.2168,-0.137
-0.1772,-0.117
-0.0078,-0.05
0.0024,-0.054
0.0084,-0.01
-0.0205,-0.041
-0.0218,-0.055
-0.0613,-0.1
-0.0623,-0.079
-0.0108,-0.038
0.0126,-0.009
0.0446,0.007
-0.0602,-0.114
-0.4328,-0.498
-0.6188,-0.74
-0.8191,-0.954
-1.2349,-1.378
-1.0736,-1.23
-0.9439,-1.076
-0.6895,-0.785
-0.4979,-0.605
0.0895,0.057
0.5397,0.538
1.1722,1.233
0.193,0.011
0.1772,-0.015
-0.0525,0.001
0.0386,0.047
0.0537,0.05
0.0785,0.005
-0.0065,-0.028
-0.1441,-0.16
-0.4696,-0.506
-0.7681,-0.82
-1.0392,-1.107
-1.4126,-1.491
-1.4646,-1.522
-1.6351,-1.709
0.6387,0.675
1.1681,1.148
1.4872,1.464
1.0512,0.68
0.9113,0.515
0.5408,0.13
0.2191,-0.174
0.133,-0.089
0.0956,-0.151
0.0892,-0.189
-0.0221,-0.007
0.1307,0.13
0.2669,0.275
0.2519,0.245
0.3653,0.319
0.3381,0.169
0.6452,0.478
1.0264,0.864
1.2168,1.1
1.4564,1.338
1.6147,1.479
