queued_pricing_error_s,backlog_error_s
-0.3072,-0.338
-0.2451,-0.183
-0.0035,0.013
-0.1504,-0.153
-0.2898,-0.243
-0.3994,-0.395
-0.2061,-0.206
-0.2057,-0.188
-0.0442,-0.035
0.0797,0.068
0.3449,0.278
0.1692,0.07
-0.1984,-0.358
-0.0782,-0.143
0.0554,0.027
-0.0134,-0.002
0.0255,-0.103
0.0105,-0.038
-0.0892,-0.148
-0.165,-0.286
0.447,-0.305
0.2214,-0.545
-0.4902,-0.193
-0.1695,0.09
0.0815,0.023
0.0993,0.048
0.1251,0.058
0.1675,0.141
0.0694,0.058
0.1174,0.094
0.1383,0.07
0.1598,0.08
0.1585,0.119
0.071,0.013
-0.0655,-0.143
-0.1846,-0.259
-0.4355,-0.527
-0.5414,-0.642
-0.6328,-0.696
-0.8045,-0.884
-0.6276,-0.683
-0.4699,-0.498
-0.4339,-0.471
-0.2025,-0.227
-0.3694,-0.401
-0.4368,-0.42
0.475,-0.324
-1.2571,-1.869
-1.4237,-2.066
-1.2743,-0.304
-0.6889,0.257
0.9656,1.951
1.9742,1.197
1.251,0.512
1.1957,0.435
-1.1001,-1.159
-0.4982,-0.643
-0.0773,-0.195
0.2268,0.063
0.7671,0.559
1.5058,1.373
1.1404,0.727
0.4434,0.106
0.233,-0.211
0.018,-0.046
-0.0892,-0.111
-0.1815,-0.228
-0.0838,-0.124
-0.0234,-0.04
0.016,-0.02
1.406,0.474
1.1841,0.234
0.3122,-0.423
-0.3321,-0.18
-0.3541,-0.219
-0.1722,0.026
0.0567,0.008
-0.237,-0.318
-0.2417,-0.337
-0.1955,-0.296
-0.1667,-0.319
-0.2051,-0.295
0.0995,0.059
0.0799,-0.022
0.013,-0.096
-0.2756,-0.417
-0.5054,-0.752
0.0101,-0.19
0.2304,0.076
0.5025,0.332
1.1086,1.061
1.3326,1.009
1.1692,0.849
1.0744,0.74
1.44,0.494
0.5,-0.29
-0.2066,0.076
-0.058,0.207
0.2187,0.179
0.2672,0.091
0.1065,-0.116
-0.1568,-0.19
-0.3256,-0.384
-0.6424,-0.713
-0.8951,-0.918
-0.6475,-0.722
-0.2602,-0.36
0.1489,0.058
0.643,0.595
1.441,1.459
1.716,1.37
1.6204,1.252
1.4436,1.058
0.7164,-0.005
0.0784,-0.276
-0.0442,-0.308
-0.1171,-0.115
-0.0022,-0.007
0.0439,0.034
0.226,-0.412
-0.1359,-0.79
-0.6568,-0.256
-0.2664,0.087
-0.2886,0.046
0.0812,-0.062
0.0493,0.042
0.1495,0.132
0.1718,0.154
0.1202,0.148
-0.1227,-0.199
-0.8644,-0.995
-2.2885,-2.44
-0.4065,-0.376
0.7964,0.326
0.4179,-0.015
0.4516,-0.013
0.3307,-0.138
0.1599,-0.368
-0.1053,-0.069
0.316,-0.171
-0.2507,-0.069
-0.3538,-0.182
-0.3783,-0.293
-0.3229,-0.293
-0.4557,-0.441
